Year,School,School_Consistant,lon,lat,IndianMale,IndianFemale,Indian_Pop,Indian_Prcnt,IndianPercent,AsianMale,AsianFemale,Asian_Pop,Asian_Prcnt,AsianPercent,HispanicMale,HispanicFemale,Hispanic_Pop,Hispanic_Prcnt,HispanicPercent,BlackMale,BlackFemale,Black_Pop,Black_Prcnt,BlackPercent,WhiteMale,WhiteFemale,White_Pop,White_Prcnt,WhitePercent,PacificIslandMale,PacificIslandFemale,Pacific_Pop,Pacific_Prcnt,PacificPercent,TwoorMoreMale,TwoorMoreFemale,Mixed_Pop,Mixed_Prcnt,TwoorMorePercent,Total,Diverse1,Diverse2,Diverse3
2008,PINEVILLE ELEMENTARY,PINEVILLE ELEMENTARY,-80.887737,35.082003,0,4,4,0.571,0.60%,13,20,33,4.708,4.70%,77,88,165,23.538,23.50%,85,88,173,24.679,24.70%,150,176,326,46.505,46.50%,0,0,0,0,0.00%,0,0,0,0,0.00%,701,0,0,0
2009,PINEVILLE ELEMENTARY,PINEVILLE ELEMENTARY,-80.887737,35.082003,0,2,2,0.302,0.30%,11,17,28,4.23,4.20%,61,88,149,22.508,22.50%,90,85,175,26.435,26.40%,151,157,308,46.526,46.50%,0,0,0,0,0.00%,0,0,0,0,0.00%,662,0,0,0
2010,PINEVILLE ELEMENTARY,PINEVILLE ELEMENTARY,-80.887737,35.082003,1,2,3,0.446,0.40%,13,15,28,4.167,4.20%,77,99,176,26.19,26.20%,99,89,188,27.976,28.00%,141,136,277,41.22,41.20%,0,0,0,0,0.00%,0,0,0,0,0.00%,672,0,0,0
2011,PINEVILLE ELEMENTARY,PINEVILLE ELEMENTARY,-80.887737,35.082003,1,1,2,0.281,0.30%,15,16,31,4.354,4.40%,85,92,177,24.86,24.90%,87,87,174,24.438,24.40%,151,132,283,39.747,39.70%,0,0,0,0,0.00%,24,21,45,6.32,6.30%,712,0,0,0
2012,PINEVILLE ELEMENTARY,PINEVILLE ELEMENTARY,-80.887737,35.082003,1,0,1,0.144,0.10%,12,16,28,4.029,4.00%,81,91,172,24.748,24.70%,99,85,184,26.475,26.50%,159,131,290,41.727,41.70%,0,0,0,0,0.00%,10,10,20,2.878,2.90%,695,0,0,0
2013,PINEVILLE ELEMENTARY,PINEVILLE ELEMENTARY,-80.887737,35.082003,2,0,2,0.264,0.30%,17,22,39,5.138,5.10%,95,113,208,27.404,27.40%,98,80,178,23.452,23.50%,164,151,315,41.502,41.50%,0,0,0,0,0.00%,10,7,17,2.24,2.20%,759,0,0,0
2014,Pineville Elementary,PINEVILLE ELEMENTARY,-80.887737,35.082003,2,0,2,0.26,0.30%,17,22,39,5.065,5.10%,114,110,224,29.091,29.10%,91,87,178,23.117,23.10%,168,142,310,40.26,40.30%,1,0,1,0.13,0.10%,10,6,16,2.078,2.10%,770,0,0,0
2015,Pineville Elementary,PINEVILLE ELEMENTARY,-80.887737,35.082003,2,0,2,0.247,0.20%,15,22,37,4.562,4.60%,138,117,255,31.443,31.40%,89,93,182,22.441,22.40%,165,157,322,39.704,39.70%,1,0,1,0.123,0.10%,7,5,12,1.48,1.50%,811,0,0,0
2016,Pineville Elementary,PINEVILLE ELEMENTARY,-80.887737,35.082003,2,2,4,0.486,0.50%,19,19,38,4.617,4.60%,131,133,264,32.078,32.10%,109,100,209,25.395,25.40%,150,145,295,35.844,35.80%,0,0,0,0,0.00%,5,8,13,1.58,1.60%,823,0,0,0
2017,Pineville Elementary,PINEVILLE ELEMENTARY,-80.887737,35.082003,2,1,3,0.382,0.40%,15,11,26,3.312,3.30%,145,143,288,36.688,36.70%,103,94,197,25.096,25.10%,132,118,250,31.847,31.80%,0,0,0,0,0.00%,12,9,21,2.675,2.70%,785,0,0,0
2018,Pineville Elementary,PINEVILLE ELEMENTARY,-80.887737,35.082003,2,2,4,0.52,0.50%,18,15,33,4.291,4.30%,138,137,275,35.761,35.80%,100,92,192,24.967,25.00%,121,125,246,31.99,32.00%,0,0,0,0,0.00%,13,6,19,2.471,2.50%,769,0,0,0
2019,Pineville Elementary,PINEVILLE ELEMENTARY,-80.887737,35.082003,2,2,4,0.519,0.50%,21,19,40,5.188,5.20%,119,147,266,34.501,34.50%,108,101,209,27.108,27.10%,130,102,232,30.091,30.10%,0,0,0,0,0.00%,12,8,20,2.594,2.60%,771,0,0,0
2020,Pineville Elementary,PINEVILLE ELEMENTARY,-80.887737,35.082003,1,2,3,0.393,0.40%,22,18,40,5.242,5.20%,126,153,279,36.566,36.60%,95,82,177,23.198,23.20%,122,105,227,29.751,29.80%,0,0,0,0,0.00%,22,15,37,4.849,4.80%,763,0,0,0
2008,PINEWOOD ELEMENTARY,PINEWOOD ELEMENTARY,-80.864063,35.166263,0,0,0,0,0.00%,12,14,26,6.295,6.30%,94,87,181,43.826,43.80%,84,70,154,37.288,37.30%,21,31,52,12.591,12.60%,0,0,0,0,0.00%,0,0,0,0,0.00%,413,0,0,0
2009,PINEWOOD ELEMENTARY,PINEWOOD ELEMENTARY,-80.864063,35.166263,1,1,2,0.419,0.40%,17,12,29,6.08,6.10%,103,104,207,43.396,43.40%,94,79,173,36.268,36.30%,29,37,66,13.836,13.80%,0,0,0,0,0.00%,0,0,0,0,0.00%,477,0,0,0
2010,PINEWOOD ELEMENTARY,PINEWOOD ELEMENTARY,-80.864063,35.166263,1,0,1,0.189,0.20%,7,8,15,2.836,2.80%,108,112,220,41.588,41.60%,120,90,210,39.698,39.70%,34,49,83,15.69,15.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,529,0,0,0
2011,PINEWOOD ELEMENTARY,PINEWOOD ELEMENTARY,-80.864063,35.166263,1,0,1,0.186,0.20%,10,14,24,4.453,4.50%,107,127,234,43.414,43.40%,91,88,179,33.21,33.20%,32,50,82,15.213,15.20%,0,0,0,0,0.00%,11,8,19,3.525,3.50%,539,0,0,0
2012,PINEWOOD ELEMENTARY,PINEWOOD ELEMENTARY,-80.864063,35.166263,1,0,1,0.191,0.20%,9,9,18,3.435,3.40%,99,119,218,41.603,41.60%,95,97,192,36.641,36.60%,37,54,91,17.366,17.40%,0,0,0,0,0.00%,3,1,4,0.763,0.80%,524,0,0,0
2013,PINEWOOD ELEMENTARY,PINEWOOD ELEMENTARY,-80.864063,35.166263,1,0,1,0.191,0.20%,7,7,14,2.672,2.70%,105,132,237,45.229,45.20%,92,93,185,35.305,35.30%,34,49,83,15.84,15.80%,0,0,0,0,0.00%,3,1,4,0.763,0.80%,524,0,0,0
2014,Pinewood Elementary,PINEWOOD ELEMENTARY,-80.864063,35.166263,1,2,3,0.533,0.50%,14,14,28,4.973,5.00%,124,129,253,44.938,44.90%,101,95,196,34.813,34.80%,38,41,79,14.032,14.00%,2,0,2,0.355,0.40%,1,1,2,0.355,0.40%,563,0,0,0
2015,Pinewood Elementary,PINEWOOD ELEMENTARY,-80.864063,35.166263,1,2,3,0.539,0.50%,13,11,24,4.309,4.30%,126,131,257,46.14,46.10%,96,99,195,35.009,35.00%,37,38,75,13.465,13.50%,0,0,0,0,0.00%,1,2,3,0.539,0.50%,557,0,0,0
2016,Pinewood Elementary,PINEWOOD ELEMENTARY,-80.864063,35.166263,1,1,2,0.412,0.40%,14,8,22,4.527,4.50%,127,112,239,49.177,49.20%,86,83,169,34.774,34.80%,27,26,53,10.905,10.90%,0,0,0,0,0.00%,1,0,1,0.206,0.20%,486,0,0,0
2017,Pinewood Elementary,PINEWOOD ELEMENTARY,-80.864063,35.166263,1,2,3,0.616,0.60%,12,6,18,3.696,3.70%,146,104,250,51.335,51.30%,81,101,182,37.372,37.40%,15,17,32,6.571,6.60%,0,0,0,0,0.00%,2,0,2,0.411,0.40%,487,0,1,1
2018,Pinewood Elementary,PINEWOOD ELEMENTARY,-80.864063,35.166263,0,1,1,0.2,0.20%,9,6,15,2.994,3.00%,139,123,262,52.295,52.30%,89,100,189,37.725,37.70%,12,18,30,5.988,6.00%,0,0,0,0,0.00%,2,2,4,0.798,0.80%,501,0,1,1
2019,Pinewood Elementary,PINEWOOD ELEMENTARY,-80.864063,35.166263,0,1,1,0.225,0.20%,6,6,12,2.703,2.70%,120,117,237,53.378,53.40%,81,74,155,34.91,34.90%,17,15,32,7.207,7.20%,0,0,0,0,0.00%,4,3,7,1.577,1.60%,444,0,1,1
2020,Pinewood Elementary,PINEWOOD ELEMENTARY,-80.864063,35.166263,0,2,2,0.404,0.40%,12,4,16,3.232,3.20%,146,122,268,54.141,54.10%,77,85,162,32.727,32.70%,17,17,34,6.869,6.90%,0,0,0,0,0.00%,6,7,13,2.626,2.60%,495,0,1,1
2008,PINEY GROVE ELEM,PINEY GROVE ELEMENTARY,-80.7305,35.173466,1,1,2,0.238,0.20%,19,10,29,3.444,3.40%,145,126,271,32.185,32.20%,204,200,404,47.981,48.00%,66,70,136,16.152,16.20%,0,0,0,0,0.00%,0,0,0,0,0.00%,842,0,0,0
2009,PINEY GROVE ELEM,PINEY GROVE ELEMENTARY,-80.7305,35.173466,1,1,2,0.245,0.20%,19,9,28,3.436,3.40%,146,142,288,35.337,35.30%,187,185,372,45.644,45.60%,62,63,125,15.337,15.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,815,0,0,0
2010,PINEY GROVE ELEM,PINEY GROVE ELEMENTARY,-80.7305,35.173466,2,2,4,0.527,0.50%,13,6,19,2.503,2.50%,138,130,268,35.31,35.30%,189,175,364,47.958,48.00%,53,51,104,13.702,13.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,759,0,0,0
2011,PINEY GROVE ELEMENTARY,PINEY GROVE ELEMENTARY,-80.7305,35.173466,2,2,4,0.525,0.50%,15,7,22,2.887,2.90%,132,134,266,34.908,34.90%,163,150,313,41.076,41.10%,53,51,104,13.648,13.60%,0,0,0,0,0.00%,22,31,53,6.955,7.00%,762,0,0,0
2012,PINEY GROVE ELEMENTARY,PINEY GROVE ELEMENTARY,-80.7305,35.173466,0,3,3,0.392,0.40%,10,5,15,1.958,2.00%,161,151,312,40.731,40.70%,166,152,318,41.514,41.50%,45,47,92,12.01,12.00%,0,0,0,0,0.00%,13,13,26,3.394,3.40%,766,0,0,0
2013,PINEY GROVE ELEMENTARY,PINEY GROVE ELEMENTARY,-80.7305,35.173466,0,6,6,0.764,0.80%,11,8,19,2.42,2.40%,174,142,316,40.255,40.30%,164,148,312,39.745,39.70%,50,54,104,13.248,13.20%,0,0,0,0,0.00%,15,13,28,3.567,3.60%,785,0,0,0
2014,Piney Grove Elementary,PINEY GROVE ELEMENTARY,-80.7305,35.173466,1,3,4,0.484,0.50%,13,8,21,2.542,2.50%,197,152,349,42.252,42.30%,171,164,335,40.557,40.60%,41,52,93,11.259,11.30%,0,1,1,0.121,0.10%,11,12,23,2.785,2.80%,826,0,0,0
2015,Piney Grove Elementary,PINEY GROVE ELEMENTARY,-80.7305,35.173466,1,1,2,0.243,0.20%,14,11,25,3.038,3.00%,202,164,366,44.471,44.50%,165,161,326,39.611,39.60%,42,48,90,10.936,10.90%,0,0,0,0,0.00%,7,7,14,1.701,1.70%,823,0,0,0
2016,Piney Grove Elementary,PINEY GROVE ELEMENTARY,-80.7305,35.173466,3,0,3,0.352,0.40%,14,9,23,2.7,2.70%,208,173,381,44.718,44.70%,167,168,335,39.319,39.30%,53,42,95,11.15,11.20%,0,1,1,0.117,0.10%,6,8,14,1.643,1.60%,852,0,0,0
2017,Piney Grove Elementary,PINEY GROVE ELEMENTARY,-80.7305,35.173466,2,0,2,0.248,0.20%,21,16,37,4.591,4.60%,206,163,369,45.782,45.80%,144,152,296,36.725,36.70%,44,35,79,9.801,9.80%,0,1,1,0.124,0.10%,10,12,22,2.73,2.70%,806,0,1,1
2018,Piney Grove Elementary,PINEY GROVE ELEMENTARY,-80.7305,35.173466,5,1,6,0.759,0.80%,31,37,68,8.608,8.60%,201,161,362,45.823,45.80%,132,139,271,34.304,34.30%,38,28,66,8.354,8.40%,0,1,1,0.127,0.10%,8,8,16,2.025,2.00%,790,0,1,1
2019,Piney Grove Elementary,PINEY GROVE ELEMENTARY,-80.7305,35.173466,0,0,0,0,0.00%,40,45,85,10.842,10.80%,190,168,358,45.663,45.70%,137,125,262,33.418,33.40%,33,27,60,7.653,7.70%,0,0,0,0,0.00%,11,8,19,2.423,2.40%,784,0,1,1
2020,Piney Grove Elementary,PINEY GROVE ELEMENTARY,-80.7305,35.173466,0,0,0,0,0.00%,53,51,104,14.943,14.90%,172,153,325,46.695,46.70%,102,89,191,27.443,27.40%,28,22,50,7.184,7.20%,0,0,0,0,0.00%,15,11,26,3.736,3.70%,696,0,1,1
2009,POLO RIDGE ELEM,POLO RIDGE ELEMENTARY,-80.795319,35.0464,5,1,6,0.77,0.80%,54,61,115,14.763,14.80%,14,19,33,4.236,4.20%,36,37,73,9.371,9.40%,266,286,552,70.86,70.90%,0,0,0,0,0.00%,0,0,0,0,0.00%,779,0,1,1
2010,POLO RIDGE ELEM,POLO RIDGE ELEMENTARY,-80.795319,35.0464,4,1,5,0.589,0.60%,52,59,111,13.074,13.10%,16,16,32,3.769,3.80%,49,29,78,9.187,9.20%,294,329,623,73.38,73.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,849,0,1,1
2011,POLO RIDGE ELEMENTARY,POLO RIDGE ELEMENTARY,-80.795319,35.0464,4,1,5,0.559,0.60%,67,69,136,15.213,15.20%,16,19,35,3.915,3.90%,29,25,54,6.04,6.00%,303,334,637,71.253,71.30%,0,0,0,0,0.00%,18,9,27,3.02,3.00%,894,0,1,1
2012,POLO RIDGE ELEMENTARY,POLO RIDGE ELEMENTARY,-80.795319,35.0464,2,1,3,0.327,0.30%,78,81,159,17.32,17.30%,18,17,35,3.813,3.80%,34,25,59,6.427,6.40%,321,323,644,70.153,70.20%,0,0,0,0,0.00%,14,4,18,1.961,2.00%,918,0,1,1
2013,POLO RIDGE ELEMENTARY,POLO RIDGE ELEMENTARY,-80.795319,35.0464,2,2,4,0.4,0.40%,102,97,199,19.9,19.90%,26,24,50,5,5.00%,41,30,71,7.1,7.10%,324,330,654,65.4,65.40%,0,0,0,0,0.00%,12,10,22,2.2,2.20%,"1,000",0,1,1
2014,Polo Ridge Elementary,POLO RIDGE ELEMENTARY,-80.795319,35.0464,2,2,4,0.391,0.40%,117,110,227,22.19,22.20%,26,29,55,5.376,5.40%,35,27,62,6.061,6.10%,335,318,653,63.832,63.80%,0,0,0,0,0.00%,13,9,22,2.151,2.20%,"1,023",0,1,1
2015,Polo Ridge Elementary,POLO RIDGE ELEMENTARY,-80.795319,35.0464,1,2,3,0.29,0.30%,133,129,262,25.29,25.30%,30,23,53,5.116,5.10%,34,30,64,6.178,6.20%,336,296,632,61.004,61.00%,2,1,3,0.29,0.30%,11,8,19,1.834,1.80%,"1,036",0,1,1
2016,Polo Ridge Elementary,POLO RIDGE ELEMENTARY,-80.795319,35.0464,1,2,3,0.285,0.30%,149,138,287,27.255,27.30%,38,27,65,6.173,6.20%,35,40,75,7.123,7.10%,337,265,602,57.17,57.20%,2,1,3,0.285,0.30%,10,8,18,1.709,1.70%,"1,053",0,1,1
2017,Polo Ridge Elementary,POLO RIDGE ELEMENTARY,-80.795319,35.0464,2,3,5,0.49,0.50%,164,154,318,31.146,31.10%,33,21,54,5.289,5.30%,32,40,72,7.052,7.10%,301,245,546,53.477,53.50%,2,1,3,0.294,0.30%,12,11,23,2.253,2.30%,"1,021",0,1,1
2018,Polo Ridge Elementary,POLO RIDGE ELEMENTARY,-80.795319,35.0464,3,3,6,0.599,0.60%,169,157,326,32.535,32.50%,33,25,58,5.788,5.80%,28,38,66,6.587,6.60%,294,220,514,51.297,51.30%,3,1,4,0.399,0.40%,14,14,28,2.794,2.80%,"1,002",0,1,1
2019,Polo Ridge Elementary,POLO RIDGE ELEMENTARY,-80.795319,35.0464,4,3,7,0.717,0.70%,164,162,326,33.402,33.40%,32,30,62,6.352,6.40%,26,35,61,6.25,6.30%,269,220,489,50.102,50.10%,1,1,2,0.205,0.20%,16,13,29,2.971,3.00%,976,0,1,1
2020,Polo Ridge Elementary,POLO RIDGE ELEMENTARY,-80.795319,35.0464,3,3,6,0.591,0.60%,165,165,330,32.512,32.50%,32,30,62,6.108,6.10%,23,28,51,5.025,5.00%,279,249,528,52.02,52.00%,1,1,2,0.197,0.20%,16,20,36,3.547,3.50%,1015,0,1,1
2008,PROVIDENCE HIGH,PROVIDENCE HIGH,-80.763648,35.110868,3,1,4,0.187,0.20%,60,73,133,6.209,6.20%,58,42,100,4.669,4.70%,103,77,180,8.403,8.40%,868,857,1725,80.532,80.50%,0,0,0,0,0.00%,0,0,0,0,0.00%,2142,1,1,1
2009,PROVIDENCE HIGH,PROVIDENCE HIGH,-80.763648,35.110868,4,2,6,0.279,0.30%,67,74,141,6.558,6.60%,54,47,101,4.698,4.70%,100,96,196,9.116,9.10%,873,833,1706,79.349,79.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,2150,1,1,1
2010,PROVIDENCE HIGH,PROVIDENCE HIGH,-80.763648,35.110868,5,1,6,0.29,0.30%,56,79,135,6.515,6.50%,38,52,90,4.344,4.30%,97,109,206,9.942,9.90%,823,812,1635,78.909,78.90%,0,0,0,0,0.00%,0,0,0,0,0.00%,2072,1,1,1
2011,PROVIDENCE HIGH,PROVIDENCE HIGH,-80.763648,35.110868,8,1,9,0.438,0.40%,82,89,171,8.325,8.30%,44,47,91,4.43,4.40%,76,76,152,7.4,7.40%,783,810,1593,77.556,77.60%,0,0,0,0,0.00%,22,16,38,1.85,1.90%,"2,054",1,1,1
2012,PROVIDENCE HIGH,PROVIDENCE HIGH,-80.763648,35.110868,9,0,9,0.448,0.40%,84,81,165,8.209,8.20%,51,49,100,4.975,5.00%,88,90,178,8.856,8.90%,740,774,1514,75.323,75.30%,0,0,0,0,0.00%,21,23,44,2.189,2.20%,"2,010",1,1,1
2013,PROVIDENCE HIGH,PROVIDENCE HIGH,-80.763648,35.110868,8,1,9,0.447,0.40%,89,90,179,8.888,8.90%,56,54,110,5.462,5.50%,94,100,194,9.633,9.60%,731,738,1469,72.939,72.90%,0,0,0,0,0.00%,25,28,53,2.632,2.60%,"2,014",0,1,1
2014,Providence High,PROVIDENCE HIGH,-80.763648,35.110868,7,2,9,0.456,0.50%,95,86,181,9.178,9.20%,55,55,110,5.578,5.60%,86,86,172,8.722,8.70%,720,718,1438,72.921,72.90%,0,2,2,0.101,0.10%,27,33,60,3.043,3.00%,"1,972",0,1,1
2015,Providence High,PROVIDENCE HIGH,-80.763648,35.110868,4,1,5,0.251,0.30%,95,100,195,9.794,9.80%,51,59,110,5.525,5.50%,82,90,172,8.639,8.60%,713,731,1444,72.526,72.50%,0,2,2,0.1,0.10%,32,31,63,3.164,3.20%,"1,991",0,1,1
2016,Providence High,PROVIDENCE HIGH,-80.763648,35.110868,4,1,5,0.251,0.30%,109,95,204,10.231,10.20%,49,67,116,5.817,5.80%,84,85,169,8.475,8.50%,717,729,1446,72.518,72.50%,0,4,4,0.201,0.20%,29,21,50,2.508,2.50%,"1,994",0,1,1
2017,Providence High,PROVIDENCE HIGH,-80.763648,35.110868,3,2,5,0.244,0.20%,111,99,210,10.254,10.30%,52,74,126,6.152,6.20%,96,75,171,8.35,8.30%,724,763,1487,72.607,72.60%,0,5,5,0.244,0.20%,24,20,44,2.148,2.10%,"2,048",0,1,1
2018,Providence High,PROVIDENCE HIGH,-80.763648,35.110868,1,2,3,0.144,0.10%,115,97,212,10.168,10.20%,57,90,147,7.05,7.10%,99,92,191,9.161,9.20%,723,753,1476,70.791,70.80%,1,5,6,0.288,0.30%,25,25,50,2.398,2.40%,"2,085",0,1,1
2019,Providence High,PROVIDENCE HIGH,-80.763648,35.110868,1,1,2,0.102,0.10%,112,95,207,10.605,10.60%,65,87,152,7.787,7.80%,93,77,170,8.709,8.70%,668,706,1374,70.389,70.40%,0,4,4,0.205,0.20%,22,21,43,2.203,2.20%,"1,952",0,1,1
2020,Providence High,PROVIDENCE HIGH,-80.763648,35.110868,1,0,1,0.05,0.10%,111,98,209,10.492,10.50%,77,68,145,7.279,7.30%,94,80,174,8.735,8.70%,717,702,1419,71.235,71.20%,1,1,2,0.1,0.10%,23,19,42,2.108,2.10%,1992,0,1,1
2008,PROVIDENCE SPRING EL,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,1,0,1,0.116,0.10%,21,31,52,6.039,6.00%,10,18,28,3.252,3.30%,21,32,53,6.156,6.20%,359,368,727,84.437,84.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,861,1,1,1
2009,PROVIDENCE SPRING EL,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,1,0,1,0.115,0.10%,32,41,73,8.43,8.40%,8,20,28,3.233,3.20%,22,33,55,6.351,6.40%,350,359,709,81.871,81.90%,0,0,0,0,0.00%,0,0,0,0,0.00%,866,1,1,1
2010,PROVIDENCE SPRING EL,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,0,1,1,0.118,0.10%,28,43,71,8.392,8.40%,11,13,24,2.837,2.80%,22,31,53,6.265,6.30%,337,360,697,82.388,82.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,846,1,1,1
2011,PROVIDENCE SPRING ELEMENTARY,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,0,1,1,0.114,0.10%,27,47,74,8.457,8.50%,12,10,22,2.514,2.50%,14,19,33,3.771,3.80%,344,383,727,83.086,83.10%,0,0,0,0,0.00%,8,10,18,2.057,2.10%,875,1,1,1
2012,PROVIDENCE SPRING ELEMENTARY,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,0,1,1,0.114,0.10%,34,54,88,10.069,10.10%,11,17,28,3.204,3.20%,20,29,49,5.606,5.60%,331,373,704,80.549,80.50%,0,0,0,0,0.00%,3,1,4,0.458,0.50%,874,1,1,1
2013,PROVIDENCE SPRING ELEMENTARY,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,0,1,1,0.115,0.10%,51,55,106,12.156,12.20%,16,11,27,3.096,3.10%,25,29,54,6.193,6.20%,315,360,675,77.408,77.40%,0,0,0,0,0.00%,4,5,9,1.032,1.00%,872,1,1,1
2014,Providence Spring Elementary,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,0,1,1,0.119,0.10%,62,59,121,14.456,14.50%,11,11,22,2.628,2.60%,27,17,44,5.257,5.30%,300,334,634,75.747,75.70%,0,1,1,0.119,0.10%,5,9,14,1.673,1.70%,837,1,1,1
2015,Providence Spring Elementary,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,0,1,1,0.115,0.10%,65,66,131,15.04,15.00%,17,18,35,4.018,4.00%,26,19,45,5.166,5.20%,319,329,648,74.397,74.40%,0,0,0,0,0.00%,5,6,11,1.263,1.30%,871,0,1,1
2016,Providence Spring Elementary,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,0,1,1,0.111,0.10%,80,82,162,17.98,18.00%,18,26,44,4.883,4.90%,28,16,44,4.883,4.90%,314,316,630,69.922,69.90%,0,0,0,0,0.00%,12,8,20,2.22,2.20%,901,0,1,1
2017,Providence Spring Elementary,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,0,0,0,0,0.00%,99,74,173,18.562,18.60%,20,27,47,5.043,5.00%,23,16,39,4.185,4.20%,325,327,652,69.957,70.00%,0,0,0,0,0.00%,11,10,21,2.253,2.30%,932,0,1,1
2018,Providence Spring Elementary,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,0,1,1,0.106,0.10%,111,74,185,19.535,19.50%,20,29,49,5.174,5.20%,19,18,37,3.907,3.90%,331,320,651,68.743,68.70%,0,0,0,0,0.00%,11,13,24,2.534,2.50%,947,0,1,1
2019,Providence Spring Elementary,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,1,0,1,0.102,0.10%,111,82,193,19.674,19.70%,22,26,48,4.893,4.90%,16,22,38,3.874,3.90%,351,317,668,68.094,68.10%,0,0,0,0,0.00%,14,19,33,3.364,3.40%,981,0,1,1
2020,Providence Spring Elementary,PROVIDENCE SPRING ELEMENTARY,-80.772096,35.072627,1,0,1,0.104,0.10%,105,80,185,19.251,19.30%,21,23,44,4.579,4.60%,17,25,42,4.37,4.40%,341,312,653,67.95,68.00%,0,0,0,0,0.00%,17,19,36,3.746,3.70%,961,0,1,1
2008,QUAIL HOLLOW MIDDLE,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,5,2,7,0.694,0.70%,20,9,29,2.877,2.90%,129,128,257,25.496,25.50%,207,195,402,39.881,39.90%,169,144,313,31.052,31.10%,0,0,0,0,0.00%,0,0,0,0,0.00%,1008,0,0,0
2009,QUAIL HOLLOW MIDDLE,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,2,2,4,0.445,0.40%,14,15,29,3.226,3.20%,120,122,242,26.919,26.90%,170,191,361,40.156,40.20%,139,124,263,29.255,29.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,899,0,0,0
2010,QUAIL HOLLOW MIDDLE,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,1,0,1,0.112,0.10%,14,14,28,3.143,3.10%,111,111,222,24.916,24.90%,189,194,383,42.985,43.00%,142,115,257,28.844,28.80%,0,0,0,0,0.00%,0,0,0,0,0.00%,891,0,0,0
2011,QUAIL HOLLOW MIDDLE,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,0,0,0,0,0.00%,14,16,30,3.297,3.30%,124,99,223,24.505,24.50%,162,175,337,37.033,37.00%,148,124,272,29.89,29.90%,0,0,0,0,0.00%,23,25,48,5.275,5.30%,910,0,0,0
2012,QUAIL HOLLOW MIDDLE,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,1,1,2,0.22,0.20%,5,15,20,2.2,2.20%,120,92,212,23.322,23.30%,162,176,338,37.184,37.20%,164,137,301,33.113,33.10%,0,0,0,0,0.00%,11,25,36,3.96,4.00%,909,0,0,0
2013,QUAIL HOLLOW MIDDLE,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,0,1,1,0.109,0.10%,5,16,21,2.29,2.30%,130,111,241,26.281,26.30%,166,180,346,37.732,37.70%,142,135,277,30.207,30.20%,0,0,0,0,0.00%,14,17,31,3.381,3.40%,917,0,0,0
2014,Quail Hollow Middle,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,2,2,4,0.419,0.40%,6,19,25,2.621,2.60%,150,146,296,31.027,31.00%,164,168,332,34.801,34.80%,138,124,262,27.463,27.50%,0,0,0,0,0.00%,18,17,35,3.669,3.70%,954,0,0,0
2015,Quail Hollow Middle,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,3,2,5,0.529,0.50%,12,17,29,3.066,3.10%,164,170,334,35.307,35.30%,161,141,302,31.924,31.90%,136,110,246,26.004,26.00%,1,0,1,0.106,0.10%,17,12,29,3.066,3.10%,946,0,0,0
2016,Quail Hollow Middle,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,4,1,5,0.551,0.60%,13,12,25,2.756,2.80%,147,168,315,34.73,34.70%,149,158,307,33.848,33.80%,117,106,223,24.587,24.60%,0,1,1,0.11,0.10%,11,20,31,3.418,3.40%,907,0,0,0
2017,Quail Hollow Middle,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,2,0,2,0.22,0.20%,10,14,24,2.64,2.60%,156,172,328,36.084,36.10%,145,156,301,33.113,33.10%,117,110,227,24.972,25.00%,0,1,1,0.11,0.10%,14,12,26,2.86,2.90%,909,0,0,0
2018,Quail Hollow Middle,QUAIL HOLLOW MIDDLE,-80.853781,35.113403,1,1,2,0.208,0.20%,11,11,22,2.289,2.30%,176,170,346,36.004,36.00%,178,145,323,33.611,33.60%,122,114,236,24.558,24.60%,1,1,2,0.208,0.20%,15,15,30,3.122,3.10%,961,0,0,0
